config,batch_id,send_time,start_time,end_time,calc_time,latency
dask,85,1783882192.28749,1783882192.325796,1783882263.737818,71.412,71.45
dask,86,1783882192.287516,1783882192.3261786,1783882265.092845,72.767,72.805
dask,87,1783882192.287536,1783882192.3265681,1783882267.8533614,75.527,75.566
dask,88,1783882192.2875528,1783882192.3269172,1783882267.9057841,75.579,75.618
dask,89,1783882192.2875698,1783882192.3273065,1783882268.211277,75.884,75.924
dask,90,1783882192.2875862,1783882192.32767,1783882271.7306745,79.403,79.443
dask,91,1783882192.2876022,1783882192.328026,1783882267.9580057,75.63,75.67
dask,92,1783882192.2876184,1783882192.3284252,1783882270.423535,78.095,78.136
dask,93,1783882192.2876363,1783882192.3287723,1783882272.033899,79.705,79.746
dask,94,1783882192.2876542,1783882192.3291214,1783882271.4277425,79.099,79.14
dask,95,1783882192.2876706,1783882192.32951,1783882272.537084,80.208,80.249
dask,96,1783882192.2876866,1783882192.3298626,1783882275.048597,82.719,82.761
dask,97,1783882192.2877023,1783882192.3302457,1783882274.6449218,82.315,82.357
dask,98,1783882192.2877183,1783882192.3335032,1783882275.100898,82.767,82.813
dask,99,1783882192.2877343,1783882192.3338706,1783882275.4042125,83.07,83.116
